#CHROM	FROM	TO	EBR
MTB_anc	91791	91798	0.94
MTB_anc	91798	91799	0.92
MTB_anc	91799	91834	0.94
MTB_anc	91834	91835	0.97
MTB_anc	91835	92498	1
MTB_anc	92498	92499	0.97
MTB_anc	92499	93025	1
MTB_anc	93025	93038	0.97
MTB_anc	93038	93145	1
MTB_anc	93145	93158	0.97
MTB_anc	93158	97432	1
MTB_anc	97432	97445	0.97
MTB_anc	97445	97475	1
MTB_anc	97475	97481	0.97
MTB_anc	97481	97488	1
MTB_anc	97488	97493	0.97
MTB_anc	97493	103358	1
MTB_anc	103358	103377	0.97
MTB_anc	103377	103750	1
MTB_anc	103750	103792	0.83
MTB_anc	103792	103807	0.81
MTB_anc	103807	103824	0.78
MTB_anc	103824	103833	0.75
MTB_anc	103833	103834	0.78
MTB_anc	103834	103840	0.75
MTB_anc	103840	103902	0.72
MTB_anc	103902	103909	0.69
MTB_anc	103909	103912	0.67
MTB_anc	103912	103916	0.61
MTB_anc	103916	103921	0.64
MTB_anc	103921	103922	0.61
MTB_anc	103922	103923	0.58
MTB_anc	103923	103927	0.64
MTB_anc	103927	103929	0.61
MTB_anc	103929	103941	0.58
MTB_anc	103941	103948	0.61
MTB_anc	103948	103959	0.56
MTB_anc	103959	103965	0.58
MTB_anc	103965	103985	0.56
MTB_anc	103985	103989	0.53
MTB_anc	103989	104003	0.5
MTB_anc	104003	104011	0.47
MTB_anc	104011	104014	0.42
MTB_anc	104014	104015	0.39
MTB_anc	104015	104016	0.42
MTB_anc	104016	104021	0.39
MTB_anc	104021	104025	0.36
MTB_anc	104025	104030	0.33
MTB_anc	104030	104033	0.31
MTB_anc	104033	104038	0.28
MTB_anc	104038	104049	0.25
MTB_anc	104049	104054	0.22
MTB_anc	104054	104056	0.17
MTB_anc	104056	104061	0.19
MTB_anc	104061	104062	0.17
MTB_anc	104062	104065	0.14
MTB_anc	104065	104087	0.11
MTB_anc	104087	104099	0.083
MTB_anc	104099	104122	0.056
MTB_anc	104122	104128	0.028
MTB_anc	104128	104300	0
MTB_anc	104300	104306	0.028
MTB_anc	104306	104318	0
MTB_anc	104318	104343	0.028
MTB_anc	104343	104372	0.056
MTB_anc	104372	104376	0.083
MTB_anc	104376	104377	0.11
MTB_anc	104377	104387	0.14
MTB_anc	104387	104388	0.11
MTB_anc	104388	104395	0.14
MTB_anc	104395	104401	0.17
MTB_anc	104401	104403	0.22
MTB_anc	104403	104406	0.25
MTB_anc	104406	104407	0.28
MTB_anc	104407	104408	0.25
MTB_anc	104408	104411	0.28
MTB_anc	104411	104412	0.31
MTB_anc	104412	104415	0.33
MTB_anc	104415	104417	0.36
MTB_anc	104417	104421	0.39
MTB_anc	104421	104428	0.36
MTB_anc	104428	104438	0.39
MTB_anc	104438	104443	0.42
MTB_anc	104443	104444	0.44
MTB_anc	104444	104458	0.47
MTB_anc	104458	104465	0.5
MTB_anc	104465	104477	0.53
MTB_anc	104477	104500	0.56
MTB_anc	104500	104505	0.58
MTB_anc	104505	104513	0.61
MTB_anc	104513	104517	0.64
MTB_anc	104517	104526	0.67
MTB_anc	104526	104538	0.64
MTB_anc	104538	104557	0.67
MTB_anc	104557	104558	0.69
MTB_anc	104558	104563	0.67
MTB_anc	104563	104567	0.69
MTB_anc	104567	104568	0.72
MTB_anc	104568	104617	0.75
MTB_anc	104617	104623	0.78
MTB_anc	104623	104665	0.75
MTB_anc	104665	104712	0.78
MTB_anc	104712	104713	0.75
MTB_anc	104713	104812	0.78
MTB_anc	104812	104814	1
MTB_anc	104814	104846	0.78
MTB_anc	104846	104852	0.81
MTB_anc	104852	104856	0.83
MTB_anc	104856	104857	0.75
MTB_anc	104857	104858	0.83
MTB_anc	104858	104859	0.75
MTB_anc	104859	104865	0.83
MTB_anc	104865	104919	0.86
MTB_anc	104919	104936	0.83
MTB_anc	104936	104937	0.69
MTB_anc	104937	104940	0.75
MTB_anc	104940	104941	0.69
MTB_anc	104941	104943	0.75
MTB_anc	104943	104944	0.69
MTB_anc	104944	104945	0.75
MTB_anc	104945	104952	0.83
MTB_anc	104952	104959	0.86
MTB_anc	104959	104963	0.89
MTB_anc	104963	104988	0.92
MTB_anc	104988	105011	0.94
MTB_anc	105011	105016	0.97
MTB_anc	105016	106252	1
MTB_anc	106252	106262	0.97
MTB_anc	106262	107508	1
MTB_anc	107508	107511	0.97
MTB_anc	107511	107521	1
MTB_anc	107521	107562	0.97
MTB_anc	107562	107570	1
MTB_anc	107570	107571	0.97
MTB_anc	107571	107847	1
MTB_anc	107847	107933	0.97
MTB_anc	107933	109619	1
MTB_anc	109619	109652	0.97
MTB_anc	109652	118421	1
MTB_anc	118421	118425	0.97
MTB_anc	118425	119305	1
MTB_anc	119305	119310	0.97
MTB_anc	119310	119447	1
MTB_anc	119447	119453	0.97
MTB_anc	119453	119454	1
MTB_anc	119454	119458	0.97
MTB_anc	119458	125045	1
MTB_anc	125045	125062	0.97
MTB_anc	125062	128075	1
MTB_anc	128075	128092	0.97
MTB_anc	128092	131177	1
MTB_anc	131177	131443	0.97
MTB_anc	131443	131920	1
MTB_anc	131920	131921	0.97
MTB_anc	131921	131927	0.94
MTB_anc	131927	131929	0.92
MTB_anc	131929	131931	0.86
MTB_anc	131931	131933	0.81
MTB_anc	131933	131935	0.78
MTB_anc	131935	131943	0.75
MTB_anc	131943	131957	0.72
MTB_anc	131957	131964	0.75
MTB_anc	131964	131965	0.72
MTB_anc	131965	131966	0.75
MTB_anc	131966	131969	0.78
MTB_anc	131969	131972	0.86
MTB_anc	131972	131976	0.83
MTB_anc	131976	131980	0.86
MTB_anc	131980	131981	0.92
MTB_anc	131981	131983	0.89
MTB_anc	131983	131993	0.92
MTB_anc	131993	131994	0.89
MTB_anc	131994	131995	0.92
MTB_anc	131995	132005	0.94
MTB_anc	132005	132033	0.97
MTB_anc	132033	132034	0.94
MTB_anc	132034	132060	0.97
MTB_anc	132060	132067	1
MTB_anc	132067	132077	0.97
MTB_anc	132077	132078	0.94
MTB_anc	132078	132080	0.89
MTB_anc	132080	132103	0.92
MTB_anc	132103	132144	0.94
MTB_anc	132144	132160	0.92
MTB_anc	132160	132165	0.89
MTB_anc	132165	132167	0.86
MTB_anc	132167	132171	0.83
MTB_anc	132171	132175	0.86
MTB_anc	132175	132190	0.89
MTB_anc	132190	132192	0.92
MTB_anc	132192	132193	0.94
MTB_anc	132193	132197	0.92
MTB_anc	132197	132246	0.94
MTB_anc	132246	132336	0.97
MTB_anc	132336	132339	0.94
MTB_anc	132339	132352	0.97
MTB_anc	132352	132374	0.94
MTB_anc	132374	132381	0.92
MTB_anc	132381	132396	0.94
MTB_anc	132396	132409	0.92
MTB_anc	132409	132410	0.94
MTB_anc	132410	132419	0.97
MTB_anc	132419	132436	0.94
MTB_anc	132436	132437	0.97
MTB_anc	132437	132450	0.94
MTB_anc	132450	132454	0.97
MTB_anc	132454	132460	0.94
MTB_anc	132460	132462	0.97
MTB_anc	132462	132463	0.94
MTB_anc	132463	132472	0.92
MTB_anc	132472	132473	0.94
MTB_anc	132473	132474	0.92
MTB_anc	132474	132484	0.94
MTB_anc	132484	132496	0.92
MTB_anc	132496	132501	0.94
MTB_anc	132501	132519	0.92
MTB_anc	132519	132527	0.89
MTB_anc	132527	132528	0.86
MTB_anc	132528	132529	0.83
MTB_anc	132529	132539	0.86
MTB_anc	132539	132540	0.83
MTB_anc	132540	132545	0.86
MTB_anc	132545	132560	0.89
MTB_anc	132560	132561	0.86
MTB_anc	132561	132564	0.83
MTB_anc	132564	132571	0.86
MTB_anc	132571	132572	0.83
MTB_anc	132572	132576	0.81
MTB_anc	132576	132586	0.78
MTB_anc	132586	132589	0.75
MTB_anc	132589	132598	0.78
MTB_anc	132598	132602	0.75
MTB_anc	132602	132603	0.72
MTB_anc	132603	132607	0.69
MTB_anc	132607	132611	0.67
MTB_anc	132611	132614	0.69
MTB_anc	132614	132615	0.67
MTB_anc	132615	132616	0.69
MTB_anc	132616	132618	0.72
MTB_anc	132618	132620	0.69
MTB_anc	132620	132622	0.72
MTB_anc	132622	132629	0.75
MTB_anc	132629	132645	0.78
MTB_anc	132645	132646	0.81
MTB_anc	132646	132654	0.83
MTB_anc	132654	132666	0.86
MTB_anc	132666	132682	0.83
MTB_anc	132682	132685	0.86
MTB_anc	132685	132689	0.92
MTB_anc	132689	132690	0.94
MTB_anc	132690	132697	0.92
MTB_anc	132697	132716	0.94
MTB_anc	132716	132739	0.97
MTB_anc	132739	132769	1
MTB_anc	132769	132783	0.94
MTB_anc	132783	132785	0.97
MTB_anc	132785	132799	1
MTB_anc	132799	132829	0.97
MTB_anc	132829	137002	1
MTB_anc	137002	137054	0.97
MTB_anc	137054	137151	1
MTB_anc	137151	137152	0.97
MTB_anc	137152	137153	1
MTB_anc	137153	137156	0.97
MTB_anc	137156	137181	1
MTB_anc	137181	137215	0.97
MTB_anc	137215	137407	1
MTB_anc	137407	137414	0.97
MTB_anc	137414	137516	1
MTB_anc	137516	137518	0.97
MTB_anc	137518	137795	1
MTB_anc	137795	137830	0.97
MTB_anc	137830	137851	1
MTB_anc	137851	137853	0.97
MTB_anc	137853	137865	1
MTB_anc	137865	137880	0.97
MTB_anc	137880	138093	1
MTB_anc	138093	138097	0.97
MTB_anc	138097	138448	1
MTB_anc	138448	138450	0.97
MTB_anc	138450	138578	1
MTB_anc	138578	138580	0.97
MTB_anc	138580	143732	1
MTB_anc	143732	143736	0.97
MTB_anc	143736	149239	1
MTB_anc	149239	149242	0.92
MTB_anc	149242	149489	0.97
MTB_anc	149489	149497	0.94
MTB_anc	149497	149500	0.92
MTB_anc	149500	149506	0.81
MTB_anc	149506	149507	0.78
MTB_anc	149507	149508	0.75
MTB_anc	149508	149521	0.72
MTB_anc	149521	149525	0.75
MTB_anc	149525	149526	0.78
MTB_anc	149526	149527	0.86
MTB_anc	149527	149530	0.94
MTB_anc	149530	149629	0.97
MTB_anc	149629	149652	0.94
MTB_anc	149652	149901	0.97
MTB_anc	149901	149902	0.94
MTB_anc	149902	149912	0.92
MTB_anc	149912	149919	0.89
MTB_anc	149919	149920	0.86
MTB_anc	149920	149921	0.78
MTB_anc	149921	149922	0.75
MTB_anc	149922	149927	0.78
MTB_anc	149927	149933	0.75
MTB_anc	149933	149934	0.78
MTB_anc	149934	149963	0.75
MTB_anc	149963	149969	0.78
MTB_anc	149969	149973	0.75
MTB_anc	149973	149978	0.78
MTB_anc	149978	149990	0.75
MTB_anc	149990	150013	0.72
MTB_anc	150013	150022	0.69
MTB_anc	150022	150024	0.67
MTB_anc	150024	150027	0.72
MTB_anc	150027	150033	0.69
MTB_anc	150033	150034	0.75
MTB_anc	150034	150035	0.72
MTB_anc	150035	150049	0.67
MTB_anc	150049	150050	0.64
MTB_anc	150050	150051	0.67
MTB_anc	150051	150052	0.69
MTB_anc	150052	150054	0.64
MTB_anc	150054	150060	0.61
MTB_anc	150060	150061	0.58
MTB_anc	150061	150069	0.64
MTB_anc	150069	150075	0.67
MTB_anc	150075	150084	0.61
MTB_anc	150084	150086	0.64
MTB_anc	150086	150092	0.69
MTB_anc	150092	150105	0.72
MTB_anc	150105	150106	0.69
MTB_anc	150106	150115	0.72
MTB_anc	150115	150118	0.75
MTB_anc	150118	150131	0.78
MTB_anc	150131	150185	0.81
MTB_anc	150185	150205	0.83
MTB_anc	150205	150206	0.81
MTB_anc	150206	150358	0.83
MTB_anc	150358	150411	0.86
MTB_anc	150411	150609	0.83
MTB_anc	150609	150617	0.86
MTB_anc	150617	150651	0.89
MTB_anc	150651	150668	0.83
MTB_anc	150668	150718	0.81
MTB_anc	150718	150733	0.83
MTB_anc	150733	150796	0.86
MTB_anc	150796	150805	0.81
MTB_anc	150805	150806	0.83
MTB_anc	150806	150891	0.81
MTB_anc	150891	150896	0.94
MTB_anc	150896	150911	0.92
MTB_anc	150911	150924	0.94
MTB_anc	150924	150930	0.97
MTB_anc	150930	150934	0.94
MTB_anc	150934	150980	0.97
MTB_anc	150980	150983	0.94
MTB_anc	150983	154115	1
MTB_anc	154115	154139	0.97
MTB_anc	154139	154168	0.86
MTB_anc	154168	154187	0.89
MTB_anc	154187	154192	0.97
MTB_anc	154192	154240	0.86
MTB_anc	154240	156544	1
MTB_anc	156544	156564	0.97
MTB_anc	156564	161441	1
MTB_anc	161441	161460	0.97
MTB_anc	161460	164510	1
MTB_anc	164510	164532	0.97
MTB_anc	164532	168544	1
MTB_anc	168544	168558	0.97
MTB_anc	168558	168559	1
MTB_anc	168559	168592	0.97
MTB_anc	168592	168599	1
MTB_anc	168599	168610	0.97
MTB_anc	168610	168613	1
MTB_anc	168613	168620	0.97
MTB_anc	168620	168689	1
MTB_anc	168689	168711	0.97
MTB_anc	168711	169105	1
MTB_anc	169105	169131	0.97
MTB_anc	169131	169133	1
MTB_anc	169133	169138	0.97
MTB_anc	169138	169145	1
MTB_anc	169145	169149	0.97
MTB_anc	169149	170763	1
MTB_anc	170763	170767	0.97
MTB_anc	170767	171000	1
MTB_anc	171000	171009	0.97
MTB_anc	171009	171016	1
MTB_anc	171016	171018	0.97
MTB_anc	171018	171457	1
MTB_anc	171457	171458	0.89
MTB_anc	171458	171779	1
MTB_anc	171779	171780	0.89
MTB_anc	171780	172302	1
MTB_anc	172302	172312	0.97
MTB_anc	172312	174498	1
MTB_anc	174498	174531	0.97
MTB_anc	174531	175908	1
MTB_anc	175908	176109	0.97
MTB_anc	176109	177454	1
MTB_anc	177454	177455	0.97
MTB_anc	177455	178986	1
MTB_anc	178986	178987	0.97
MTB_anc	178987	179112	1
MTB_anc	179112	179118	0.97
MTB_anc	179118	179120	1
MTB_anc	179120	179123	0.97
MTB_anc	179123	180980	1
MTB_anc	180980	181003	0.97
MTB_anc	181003	185923	1
MTB_anc	185923	185927	0.97
MTB_anc	185927	185943	1
MTB_anc	185943	185948	0.97
MTB_anc	185948	185950	1
MTB_anc	185950	185952	0.97
MTB_anc	185952	192300	1
MTB_anc	192300	192319	0.97
MTB_anc	192319	192332	0.94
MTB_anc	192332	192337	0.92
MTB_anc	192337	192342	0.89
MTB_anc	192342	192348	0.86
MTB_anc	192348	192351	0.83
MTB_anc	192351	192352	0.81
MTB_anc	192352	192354	0.83
MTB_anc	192354	192355	0.81
MTB_anc	192355	192365	0.78
MTB_anc	192365	192366	0.75
MTB_anc	192366	192386	0.72
MTB_anc	192386	192389	0.75
MTB_anc	192389	192390	0.78
MTB_anc	192390	192392	0.81
MTB_anc	192392	192395	0.83
MTB_anc	192395	192398	0.86
MTB_anc	192398	192399	0.89
MTB_anc	192399	192400	0.92
MTB_anc	192400	192403	0.94
MTB_anc	192403	192430	0.97
MTB_anc	192430	194030	1
MTB_anc	194030	194306	0.97
MTB_anc	194306	196308	1
MTB_anc	196308	196322	0.97
MTB_anc	196322	196406	1
MTB_anc	196406	196447	0.97
MTB_anc	196447	198615	1
MTB_anc	198615	198623	0.97
MTB_anc	198623	198636	1
MTB_anc	198636	198642	0.97
MTB_anc	198642	198729	1
MTB_anc	198729	198740	0.97
MTB_anc	198740	198787	1
MTB_anc	198787	198808	0.97
MTB_anc	198808	198814	1
MTB_anc	198814	198874	0.97
MTB_anc	198874	198891	1
MTB_anc	198891	198893	0.97
MTB_anc	198893	198896	1
MTB_anc	198896	198913	0.97
MTB_anc	198913	198919	0.94
MTB_anc	198919	198920	0.97
MTB_anc	198920	198932	0.94
MTB_anc	198932	198937	0.92
MTB_anc	198937	198946	0.89
MTB_anc	198946	198951	0.86
MTB_anc	198951	198952	0.83
MTB_anc	198952	198962	0.81
MTB_anc	198962	198966	0.75
MTB_anc	198966	198987	0.72
MTB_anc	198987	198988	0.75
MTB_anc	198988	198990	0.72
MTB_anc	198990	198991	0.75
MTB_anc	198991	199000	0.78
MTB_anc	199000	199001	0.81
MTB_anc	199001	199004	0.83
MTB_anc	199004	199005	0.86
MTB_anc	199005	199008	0.89
MTB_anc	199008	199021	0.94
MTB_anc	199021	199040	0.97
MTB_anc	199040	199837	1
MTB_anc	199837	199861	0.97
MTB_anc	199861	199963	1
MTB_anc	199963	199968	0.97
MTB_anc	199968	199970	1
MTB_anc	199970	199974	0.97
MTB_anc	199974	199976	1
MTB_anc	199976	200012	0.97
MTB_anc	200012	200211	1
MTB_anc	200211	200214	0.97
MTB_anc	200214	202009	1
MTB_anc	202009	202026	0.97
MTB_anc	202026	202216	1
MTB_anc	202216	202227	0.97
MTB_anc	202227	202948	1
MTB_anc	202948	202949	0.97
MTB_anc	202949	205433	1
MTB_anc	205433	205450	0.97
MTB_anc	205450	206463	1
MTB_anc	206463	206486	0.97
MTB_anc	206486	206489	0.94
MTB_anc	206489	206495	0.92
MTB_anc	206495	206500	0.89
MTB_anc	206500	206503	0.86
MTB_anc	206503	206509	0.83
MTB_anc	206509	206511	0.86
MTB_anc	206511	206515	0.89
MTB_anc	206515	206517	0.86
MTB_anc	206517	206519	0.83
MTB_anc	206519	206520	0.86
MTB_anc	206520	206525	0.92
MTB_anc	206525	206542	0.97
MTB_anc	206542	206812	1
MTB_anc	206812	206851	0.97
MTB_anc	206851	206869	1
MTB_anc	206869	206908	0.97
MTB_anc	206908	207937	1
MTB_anc	207937	208317	0.97
MTB_anc	208317	208318	1
MTB_anc	208318	208323	0.97
MTB_anc	208323	213576	1
MTB_anc	213576	213589	0.97
MTB_anc	213589	213743	1
MTB_anc	213743	213762	0.97
MTB_anc	213762	214222	1
MTB_anc	214222	214263	0.97
MTB_anc	214263	218516	1
MTB_anc	218516	218825	0.97
MTB_anc	218825	222811	1
MTB_anc	222811	222825	0.97
MTB_anc	222825	223795	1
MTB_anc	223795	223797	0.97
MTB_anc	223797	223806	1
MTB_anc	223806	223878	0.97
MTB_anc	223878	223933	1
MTB_anc	223933	223944	0.97
MTB_anc	223944	223948	1
MTB_anc	223948	223977	0.97
MTB_anc	223977	223982	1
MTB_anc	223982	223986	0.97
MTB_anc	223986	225252	1
MTB_anc	225252	225279	0.97
MTB_anc	225279	225295	1
MTB_anc	225295	225432	0.97
MTB_anc	225432	225480	1
MTB_anc	225480	225484	0.97
MTB_anc	225484	226227	1
MTB_anc	226227	226234	0.97
MTB_anc	226234	226329	1
MTB_anc	226329	226332	0.97
MTB_anc	226332	226459	1
MTB_anc	226459	226467	0.97
MTB_anc	226467	229253	1
MTB_anc	229253	229254	0.97
MTB_anc	229254	229269	0.94
MTB_anc	229269	229274	0.92
MTB_anc	229274	229276	0.94
MTB_anc	229276	229277	0.92
MTB_anc	229277	229283	0.94
MTB_anc	229283	229286	0.97
MTB_anc	229286	230460	1
MTB_anc	230460	230473	0.97
MTB_anc	230473	230478	1
MTB_anc	230478	230481	0.97
MTB_anc	230481	230492	1
MTB_anc	230492	230498	0.97
MTB_anc	230498	230501	1
MTB_anc	230501	230517	0.97
MTB_anc	230517	230578	1
MTB_anc	230578	230801	0.97
MTB_anc	230801	230804	1
MTB_anc	230804	230921	0.97
MTB_anc	230921	234332	1
MTB_anc	234332	234352	0.97
MTB_anc	234352	234403	1
MTB_anc	234403	234431	0.97
MTB_anc	234431	234440	0.94
MTB_anc	234440	234447	0.92
MTB_anc	234447	234449	0.89
MTB_anc	234449	234453	0.83
MTB_anc	234453	234459	0.81
MTB_anc	234459	234460	0.78
MTB_anc	234460	234482	0.81
MTB_anc	234482	234484	0.83
MTB_anc	234484	234485	0.81
MTB_anc	234485	234486	0.83
MTB_anc	234486	234489	0.86
MTB_anc	234489	234493	0.89
MTB_anc	234493	234495	0.92
MTB_anc	234495	234499	0.94
MTB_anc	234499	234500	0.97
MTB_anc	234500	237725	1
MTB_anc	237725	237735	0.97
MTB_anc	237735	241489	1
MTB_anc	241489	241500	0.97
MTB_anc	241500	241900	1
MTB_anc	241900	241905	0.97
MTB_anc	241905	241910	1
MTB_anc	241910	241924	0.97
MTB_anc	241924	244777	1
MTB_anc	244777	244795	0.97
MTB_anc	244795	245574	1
MTB_anc	245574	245582	0.97
MTB_anc	245582	251978	1
MTB_anc	251978	252050	0.97
MTB_anc	252050	252062	1
MTB_anc	252062	252070	0.97
MTB_anc	252070	255090	1
MTB_anc	255090	255124	0.97
MTB_anc	255124	258478	1
MTB_anc	258478	258479	0.97
MTB_anc	258479	261904	1
MTB_anc	261904	261941	0.97
MTB_anc	261941	262021	1
MTB_anc	262021	262025	0.97
MTB_anc	262025	262032	0.94
MTB_anc	262032	262036	0.97
MTB_anc	262036	262044	1
MTB_anc	262044	262054	0.97
MTB_anc	262054	263146	1
MTB_anc	263146	263152	0.97
MTB_anc	263152	263161	1
MTB_anc	263161	263167	0.97
MTB_anc	263167	266657	1
MTB_anc	266657	266744	0.92
MTB_anc	266744	271648	1
MTB_anc	271648	271669	0.97
MTB_anc	271669	274854	1
MTB_anc	274854	275007	0.97
MTB_anc	275007	279516	1
MTB_anc	279516	279517	0.97
MTB_anc	279517	279535	1
MTB_anc	279535	279552	0.97
MTB_anc	279552	279557	0.94
MTB_anc	279557	279559	0.92
MTB_anc	279559	279561	0.89
MTB_anc	279561	279563	0.92
MTB_anc	279563	279566	0.94
MTB_anc	279566	279568	0.97
MTB_anc	279568	279575	0.94
MTB_anc	279575	279580	0.97
MTB_anc	279580	279583	0.94
MTB_anc	279583	279587	0.97
MTB_anc	279587	279588	0.94
MTB_anc	279588	279601	0.97
MTB_anc	279601	280621	1
MTB_anc	280621	280629	0.97
MTB_anc	280629	280636	1
MTB_anc	280636	280660	0.97
MTB_anc	280660	283829	1
MTB_anc	283829	283858	0.97
MTB_anc	283858	284693	1
MTB_anc	284693	284732	0.97
MTB_anc	284732	287040	1
MTB_anc	287040	287073	0.97
MTB_anc	287073	292539	1
MTB_anc	292539	292556	0.97
MTB_anc	292556	293516	1
MTB_anc	293516	293629	0.97
MTB_anc	293629	295829	1
MTB_anc	295829	295836	0.97
MTB_anc	295836	297017	1
MTB_anc	297017	297018	0.97
MTB_anc	297018	297365	1
MTB_anc	297365	297373	0.97
MTB_anc	297373	297410	1
MTB_anc	297410	297420	0.97
MTB_anc	297420	298055	1
MTB_anc	298055	298109	0.97
MTB_anc	298109	298336	1
MTB_anc	298336	298337	0.97
MTB_anc	298337	306861	1
MTB_anc	306861	306893	0.97
MTB_anc	306893	308308	1
MTB_anc	308308	308315	0.97
MTB_anc	308315	308317	0.94
MTB_anc	308317	308322	0.92
MTB_anc	308322	308326	0.89
MTB_anc	308326	308329	0.86
MTB_anc	308329	308331	0.83
MTB_anc	308331	308332	0.78
MTB_anc	308332	308335	0.75
MTB_anc	308335	308337	0.72
MTB_anc	308337	308346	0.69
MTB_anc	308346	308349	0.67
MTB_anc	308349	308398	0.64
MTB_anc	308398	308404	0.67
MTB_anc	308404	308406	0.69
MTB_anc	308406	308409	0.72
MTB_anc	308409	308410	0.81
MTB_anc	308410	308413	0.83
MTB_anc	308413	308414	0.89
MTB_anc	308414	308418	0.94
MTB_anc	308418	308468	0.97
MTB_anc	308468	315323	1
MTB_anc	315323	315334	0.97
MTB_anc	315334	317745	1
MTB_anc	317745	317765	0.97
MTB_anc	317765	318362	1
MTB_anc	318362	318371	0.97
MTB_anc	318371	318376	1
MTB_anc	318376	318379	0.97
MTB_anc	318379	318380	1
MTB_anc	318380	318381	0.97
MTB_anc	318381	321442	1
