#CHROM	FROM	TO	IEDB_tag
MTB_anc	529334	529360	!IEDBMHC2,544
MTB_anc	529358	529402	!IEDBMHC2,102
MTB_anc	529367	529411	!IEDBMHC2,533
MTB_anc	529388	529417	!IEDBMHC1,504
MTB_anc	529406	529432	!IEDBMHC1,263
MTB_anc	529418	529462	!IEDBMHC2,385
MTB_anc	529448	529492	!IEDBMHC2,100
MTB_anc	529460	529486	!IEDBMHC1,23
MTB_anc	529463	529489	!IEDBMHC1,162
MTB_anc	529478	529522	!IEDBMHC2,45
MTB_anc	529598	529642	!IEDBMHC2,415
MTB_anc	529628	529672	!IEDBMHC2,43
MTB_anc	529691	529717	!IEDBMHC1,122
MTB_anc	529718	529762	!IEDBvargas2021
MTB_anc	529775	529843	!IEDBMHC2,350
MTB_anc	529787	529831	!IEDBMHC2,469
MTB_anc	529838	529882	!IEDBMHC2,36
MTB_anc	529868	529912	!IEDBMHC2,62
MTB_anc	529898	529942	!IEDBMHC2,136
MTB_anc	529928	529972	!IEDBMHC2,221
MTB_anc	529958	530002	!IEDBMHC2,186
MTB_anc	529973	530002	!IEDBMHC2,150
MTB_anc	529973	530005	!IEDBMHC2,151
MTB_anc	529973	530008	!IEDBMHC2,573
MTB_anc	529976	530008	!IEDBMHC2,574
MTB_anc	529988	530032	!IEDBMHC2,430
MTB_anc	529994	530038	!IEDBMHC2,983
MTB_anc	530018	530062	!IEDBMHC2,40
MTB_anc	530048	530092	!IEDBMHC2,432
MTB_anc	530060	530089	!IEDBMHC1,129
MTB_anc	530087	530131	!IEDBMHC2,472
MTB_anc	530108	530152	!IEDBMHC2,249
MTB_anc	530126	530170	!IEDBMHC2,534
MTB_anc	530132	530158	!IEDBMHC1,85
MTB_anc	530132	530161	!IEDBMHC1,86
MTB_anc	530138	530227	!IEDBvargas2021
MTB_anc	530168	530212	!IEDBMHC2,214
MTB_anc	530183	530227	!IEDBMHC2,470
MTB_anc	531666	531710	!IEDBMHC2,724
MTB_anc	531843	531887	!IEDBMHC2,1131
MTB_anc	531948	531992	!IEDBMHC2,956
MTB_anc	535296	535322	!IEDBMHC1,386
MTB_anc	535491	535517	!IEDBMHC1,382
MTB_anc	536154	536180	!IEDBMHC1,389
MTB_anc	543273	543317	!IEDBMHC2,843
MTB_anc	543474	543518	!IEDBMHC2,954
MTB_anc	543537	543581	!IEDBMHC2,821
MTB_anc	566508	566564	!IEDBvargas2021
MTB_anc	566691	566747	!IEDBMHC2,962
MTB_anc	566694	566750	!IEDBMHC2,963
MTB_anc	600143	600187	!IEDBMHC2,850
MTB_anc	613698	613742	!IEDBMHC2,733
MTB_anc	620308	620352	!IEDBMHC2,814
MTB_anc	620575	620619	!IEDBMHC2,750
MTB_anc	620614	620658	!IEDBMHC2,813
MTB_anc	636031	636075	!IEDBMHC2,925
MTB_anc	642338	642382	!IEDBMHC2,699
MTB_anc	686965	687012	!IEDBMHC2,410
MTB_anc	687103	687144	!IEDBMHC2,314
MTB_anc	687307	687345	!IEDBMHC2,96
MTB_anc	692318	692344	!IEDBMHC1,279
MTB_anc	731167	731202	!IEDBMHC1,513
MTB_anc	733008	733052	!IEDBMHC2,857
MTB_anc	735034	735078	!IEDBMHC2,867
MTB_anc	760167	760193	!IEDBMHC1,165
MTB_anc	760569	760622	!IEDBMHC1,516
MTB_anc	760575	760622	!IEDBMHC1,514
MTB_anc	765119	765145	!IEDBMHC1,98
MTB_anc	765353	765382	!IEDBMHC1,242
MTB_anc	765395	765421	!IEDBMHC1,141
MTB_anc	769903	769929	!IEDBMHC1,125
MTB_anc	790858	790902	!IEDBMHC2,745
MTB_anc	790957	791001	!IEDBMHC2,900
MTB_anc	791163	791207	!IEDBMHC2,942
MTB_anc	792313	792357	!IEDBMHC2,913
MTB_anc	792847	792891	!IEDBMHC2,774
MTB_anc	793335	793379	!IEDBMHC2,4
MTB_anc	802184	802228	!IEDBMHC2,793
MTB_anc	838451	838510	!IEDBvargas2021
MTB_anc	838658	838708	!IEDBvargas2021
MTB_anc	838760	838822	!IEDBvargas2021
MTB_anc	839603	839677	!IEDBvargas2021
MTB_anc	849654	849728	!IEDBvargas2021
MTB_anc	866610	866654	!IEDBMHC2,829
MTB_anc	869575	869619	!IEDBMHC2,822
MTB_anc	870494	870538	!IEDBMHC2,680
MTB_anc	870890	870934	!IEDBMHC2,887
MTB_anc	881753	881779	!IEDBMHC1,370
MTB_anc	917944	917967	!IEDBMHC1,502
MTB_anc	928359	928403	!IEDBvargas2021
MTB_anc	930201	930245	!IEDBvargas2021
MTB_anc	930267	930311	!IEDBvargas2021
MTB_anc	950450	950494	!IEDBMHC2,864
MTB_anc	951222	951266	!IEDBMHC2,934
MTB_anc	965485	965511	!IEDBMHC1,498
MTB_anc	977832	977876	!IEDBMHC2,966
MTB_anc	992093	992137	!IEDBMHC2,826
MTB_anc	1036909	1036935	!IEDBMHC1,212
MTB_anc	1036909	1036938	!IEDBMHC1,213
MTB_anc	1037119	1037145	!IEDBMHC1,70
MTB_anc	1037317	1037343	!IEDBMHC1,92
MTB_anc	1037359	1037388	!IEDBMHC1,196
MTB_anc	1037641	1037670	!IEDBMHC1,81
MTB_anc	1037656	1037682	!IEDBMHC1,107
MTB_anc	1042121	1042165	!IEDBMHC2,1069
MTB_anc	1042184	1042243	!IEDBMHC2,78
MTB_anc	1042289	1042315	!IEDBMHC1,223
MTB_anc	1042289	1042339	!IEDBMHC2,988
MTB_anc	1042307	1042363	!IEDBMHC2,124
MTB_anc	1042331	1042363	!IEDBMHC2,181
MTB_anc	1042364	1042423	!IEDBvargas2021
MTB_anc	1042370	1042420	!IEDBvargas2021
MTB_anc	1042436	1042462	!IEDBMHC1,251
MTB_anc	1042454	1042513	!IEDBMHC2,261
MTB_anc	1042466	1042513	!IEDBMHC2,986
MTB_anc	1042550	1042609	!IEDBMHC2,299
MTB_anc	1042637	1042663	!IEDBMHC1,148
MTB_anc	1042742	1042801	!IEDBMHC2,376
MTB_anc	1042802	1042861	!IEDBMHC2,158
MTB_anc	1042829	1042888	!IEDBMHC2,34
MTB_anc	1042922	1042981	!IEDBvargas2021
MTB_anc	1042928	1042987	!IEDBvargas2021
MTB_anc	1042931	1042957	!IEDBMHC1,64
MTB_anc	1042964	1043023	!IEDBMHC2,10
MTB_anc	1043027	1043086	!IEDBMHC2,60
MTB_anc	1043060	1043119	!IEDBMHC2,447
MTB_anc	1043087	1043140	!IEDBMHC2,79
MTB_anc	1043087	1043146	!IEDBMHC2,80
MTB_anc	1043159	1043203	!IEDBMHC2,1070
MTB_anc	1043162	1043206	!IEDBMHC2,1065
MTB_anc	1043162	1043218	!IEDBMHC2,97
MTB_anc	1043162	1043221	!IEDBMHC2,98
MTB_anc	1043165	1043209	!IEDBMHC2,987
MTB_anc	1043168	1043212	!IEDBMHC2,967
MTB_anc	1043168	1043227	!IEDBMHC2,989
MTB_anc	1043171	1043200	!IEDBMHC2,182
MTB_anc	1043171	1043215	!IEDBMHC2,1067
MTB_anc	1068077	1068151	!IEDBvargas2021
MTB_anc	1101238	1101282	!IEDBMHC2,851
MTB_anc	1103544	1103588	!IEDBMHC2,853
MTB_anc	1104918	1104962	!IEDBMHC2,751
MTB_anc	1105572	1105616	!IEDBMHC2,799
MTB_anc	1108052	1108096	!IEDBvargas2021
MTB_anc	1109464	1109508	!IEDBMHC2,830
MTB_anc	1111750	1111794	!IEDBvargas2021
MTB_anc	1111834	1111878	!IEDBvargas2021
MTB_anc	1128190	1128216	!IEDBMHC1,496
MTB_anc	1149057	1149101	!IEDBMHC2,893
MTB_anc	1150364	1150408	!IEDBMHC2,802
MTB_anc	1150967	1151011	!IEDBMHC2,710
MTB_anc	1160344	1160388	!IEDBMHC2,715
MTB_anc	1167928	1167972	!IEDBMHC2,924
MTB_anc	1214669	1214713	!IEDBMHC1,375
MTB_anc	1216721	1216765	!IEDBvargas2021
MTB_anc	1239787	1239852	!IEDBvargas2021
MTB_anc	1263766	1263810	!IEDBMHC2,1132
MTB_anc	1299936	1299968	!IEDBMHC1,494
MTB_anc	1301944	1301988	!IEDBMHC2,722
MTB_anc	1302115	1302159	!IEDBvargas2021
MTB_anc	1302256	1302300	!IEDBvargas2021
MTB_anc	1305702	1305728	!IEDBMHC1,420
MTB_anc	1305723	1305749	!IEDBMHC1,417
MTB_anc	1305732	1305758	!IEDBMHC1,410
MTB_anc	1305735	1305761	!IEDBMHC1,403
MTB_anc	1305741	1305767	!IEDBMHC1,440
MTB_anc	1305747	1305773	!IEDBMHC1,438
MTB_anc	1305753	1305779	!IEDBMHC1,413
MTB_anc	1305756	1305782	!IEDBMHC1,404
MTB_anc	1305759	1305785	!IEDBMHC1,430
MTB_anc	1305774	1305800	!IEDBMHC1,454
MTB_anc	1305783	1305809	!IEDBMHC1,418
MTB_anc	1305795	1305821	!IEDBMHC1,29
MTB_anc	1305807	1305833	!IEDBMHC1,416
MTB_anc	1305810	1305836	!IEDBMHC1,405
MTB_anc	1305837	1305863	!IEDBMHC1,408
MTB_anc	1305846	1305890	!IEDBMHC2,937
MTB_anc	1305873	1305905	!IEDBMHC1,35
MTB_anc	1305909	1305935	!IEDBMHC1,407
MTB_anc	1305927	1305953	!IEDBMHC1,435
MTB_anc	1305933	1305959	!IEDBMHC1,449
MTB_anc	1305939	1305965	!IEDBMHC1,423
MTB_anc	1305945	1305971	!IEDBMHC1,426
MTB_anc	1305957	1305983	!IEDBMHC1,409
MTB_anc	1305966	1305992	!IEDBMHC1,444
MTB_anc	1305972	1305998	!IEDBMHC1,442
MTB_anc	1327087	1327131	!IEDBMHC2,788
MTB_anc	1327758	1327802	!IEDBMHC2,943
MTB_anc	1330920	1330964	!IEDBMHC2,838
MTB_anc	1338997	1339041	!IEDBMHC2,6,!IEDBMHC2,950
MTB_anc	1339349	1339393	!IEDBMHC2,999
MTB_anc	1339349	1339411	!IEDBMHC2,549
MTB_anc	1339409	1339453	!IEDBMHC2,995
MTB_anc	1339424	1339468	!IEDBvargas2021
MTB_anc	1339979	1340023	!IEDBvargas2021
MTB_anc	1340051	1340095	!IEDBvargas2021
MTB_anc	1340399	1340443	!IEDBMHC2,1000
MTB_anc	1341066	1341110	!IEDBMHC2,42
MTB_anc	1341081	1341125	!IEDBMHC2,33
MTB_anc	1341096	1341140	!IEDBMHC2,191
MTB_anc	1353690	1353734	!IEDBMHC2,879
MTB_anc	1384673	1384723	!IEDBvargas2021
MTB_anc	1386390	1386434	!IEDBvargas2021
MTB_anc	1401233	1401259	!IEDBMHC1,300
MTB_anc	1402877	1402936	!IEDBvargas2021
MTB_anc	1403641	1403700	!IEDBvargas2021
MTB_anc	1419545	1419589	!IEDBMHC2,938
MTB_anc	1432565	1432591	!IEDBMHC1,202
MTB_anc	1448940	1448966	!IEDBMHC1,523
MTB_anc	1454050	1454094	!IEDBMHC2,905
MTB_anc	1457114	1457158	!IEDBvargas2021
MTB_anc	1457816	1457860	!IEDBMHC2,922
MTB_anc	1461885	1461929	!IEDBMHC2,952
MTB_anc	1463909	1463953	!IEDBMHC2,717
MTB_anc	1464017	1464061	!IEDBMHC2,831
MTB_anc	1466048	1466092	!IEDBMHC2,768
MTB_anc	1467011	1467055	!IEDBMHC2,866
MTB_anc	1467212	1467256	!IEDBMHC2,807
MTB_anc	1467537	1467581	!IEDBMHC2,785
MTB_anc	1467868	1467912	!IEDBMHC2,674
MTB_anc	1478735	1478779	!IEDBMHC2,861
MTB_anc	1478753	1478797	!IEDBMHC2,730
MTB_anc	1502641	1502715	!IEDBMHC1,2,!IEDBMHC2,8
MTB_anc	1502728	1502802	!IEDBMHC2,964
MTB_anc	1502917	1502991	!IEDBMHC2,965
MTB_anc	1506118	1506162	!IEDBMHC2,737
MTB_anc	1506352	1506396	!IEDBMHC2,876
MTB_anc	1514277	1514321	!IEDBvargas2021
MTB_anc	1517054	1517080	!IEDBMHC1,500
MTB_anc	1532461	1532523	!IEDBMHC2,541
MTB_anc	1532494	1532553	!IEDBMHC2,546
MTB_anc	1532524	1532583	!IEDBMHC2,550
MTB_anc	1532734	1532793	!IEDBvargas2021
MTB_anc	1532794	1532853	!IEDBMHC2,552
MTB_anc	1532824	1532883	!IEDBMHC2,548
MTB_anc	1532854	1532913	!IEDBMHC2,543
MTB_anc	1532884	1532943	!IEDBMHC2,542
MTB_anc	1532914	1532973	!IEDBMHC2,540
MTB_anc	1532944	1533003	!IEDBMHC2,545
MTB_anc	1532974	1533033	!IEDBMHC2,547
MTB_anc	1533124	1533183	!IEDBMHC2,539
MTB_anc	1533154	1533213	!IEDBvargas2021
MTB_anc	1533424	1533483	!IEDBMHC2,553
MTB_anc	1533454	1533513	!IEDBMHC2,551
MTB_anc	1538828	1538872	!IEDBMHC2,742
MTB_anc	1538888	1538932	!IEDBMHC2,886
MTB_anc	1539617	1539661	!IEDBMHC2,688
MTB_anc	1540352	1540396	!IEDBMHC2,845
MTB_anc	1540601	1540645	!IEDBMHC2,898
MTB_anc	1555498	1555572	!IEDBvargas2021
MTB_anc	1555834	1555905	!IEDBvargas2021
MTB_anc	1561704	1561748	!IEDBvargas2021
MTB_anc	1562153	1562197	!IEDBMHC2,828
MTB_anc	1586213	1586239	!IEDBMHC1,306
MTB_anc	1594606	1594650	!IEDBMHC2,681
MTB_anc	1609649	1609693	!IEDBMHC2,824
MTB_anc	1613343	1613387	!IEDBMHC2,854
MTB_anc	1614123	1614167	!IEDBMHC2,836
MTB_anc	1619397	1619441	!IEDBvargas2021
MTB_anc	1619433	1619477	!IEDBMHC2,732
MTB_anc	1638555	1638599	!IEDBMHC2,704
MTB_anc	1647958	1647984	!IEDBMHC1,114
MTB_anc	1674661	1674690	!IEDBMHC1,24
MTB_anc	1674931	1674957	!IEDBMHC1,17
MTB_anc	1680294	1680320	!IEDBMHC1,262
MTB_anc	1684485	1684529	!IEDBMHC2,932
MTB_anc	1694383	1694427	!IEDBMHC2,794
MTB_anc	1735991	1736035	!IEDBMHC2,844
MTB_anc	1768218	1768244	!IEDBMHC1,301
MTB_anc	1773518	1773562	!IEDBMHC2,696
MTB_anc	1776121	1776165	!IEDBMHC2,754
MTB_anc	1777392	1777418	!IEDBMHC1,503
MTB_anc	1825351	1825401	!IEDBvargas2021
MTB_anc	1825501	1825551	!IEDBvargas2021
MTB_anc	1825600	1825650	!IEDBMHC2,441
MTB_anc	1825702	1825752	!IEDBvargas2021
MTB_anc	1828267	1828293	!IEDBMHC1,511
MTB_anc	1848144	1848188	!IEDBMHC2,894
MTB_anc	1852543	1852569	!IEDBMHC1,197
MTB_anc	1852582	1852626	!IEDBMHC2,827
MTB_anc	1852985	1853029	!IEDBMHC2,832
MTB_anc	1918156	1918185	!IEDBMHC1,15
MTB_anc	1918387	1918413	!IEDBMHC1,153
MTB_anc	1931911	1931955	!IEDBMHC2,953
MTB_anc	1932235	1932279	!IEDBMHC2,810
MTB_anc	1932292	1932336	!IEDBMHC2,1138
MTB_anc	1932403	1932447	!IEDBMHC2,725
MTB_anc	1933405	1933449	!IEDBMHC2,1136
MTB_anc	1959858	1959917	!IEDBMHC1,329,!IEDBMHC2,590
MTB_anc	1959888	1959947	!IEDBvargas2021
MTB_anc	1959900	1959926	!IEDBMHC1,311
MTB_anc	1959918	1959977	!IEDBvargas2021
MTB_anc	1959948	1960007	!IEDBvargas2021
MTB_anc	1959954	1959980	!IEDBMHC1,326
MTB_anc	1959963	1959989	!IEDBMHC1,308
MTB_anc	1959978	1960037	!IEDBvargas2021
MTB_anc	1960008	1960067	!IEDBMHC1,325,!IEDBMHC2,589
MTB_anc	1960038	1960097	!IEDBMHC1,331,!IEDBMHC2,592
MTB_anc	1960068	1960127	!IEDBMHC1,323,!IEDBMHC2,587
MTB_anc	1960098	1960157	!IEDBMHC1,330,!IEDBMHC2,591
MTB_anc	1960128	1960187	!IEDBMHC1,356,!IEDBMHC2,615
MTB_anc	1960158	1960217	!IEDBMHC1,316,!IEDBMHC2,581
MTB_anc	1960188	1960247	!IEDBMHC1,360,!IEDBMHC2,617
MTB_anc	1960218	1960277	!IEDBMHC1,349,!IEDBMHC2,609
MTB_anc	1960221	1960247	!IEDBMHC1,359
MTB_anc	1960230	1960256	!IEDBMHC1,344
MTB_anc	1960245	1960271	!IEDBMHC1,328
MTB_anc	1960248	1960307	!IEDBMHC1,307,!IEDBMHC2,575
MTB_anc	1960257	1960301	!IEDBMHC2,669
MTB_anc	1960278	1960337	!IEDBMHC1,361,!IEDBMHC2,618
MTB_anc	1960308	1960367	!IEDBMHC1,334,!IEDBMHC2,595
MTB_anc	1960338	1960397	!IEDBMHC1,348,!IEDBMHC2,608
MTB_anc	1960368	1960427	!IEDBMHC1,342,!IEDBMHC2,603
MTB_anc	1960398	1960457	!IEDBMHC1,314,!IEDBMHC2,580
MTB_anc	1960428	1960487	!IEDBMHC1,339,!IEDBMHC2,600
MTB_anc	1984413	1984457	!IEDBMHC2,1134
MTB_anc	2003019	2003060	!IEDBvargas2021
MTB_anc	2003271	2003339	!IEDBvargas2021
MTB_anc	2003721	2003783	!IEDBvargas2021
MTB_anc	2003799	2003837	!IEDBvargas2021
MTB_anc	2023561	2023605	!IEDBMHC2,752
MTB_anc	2026651	2026695	!IEDBMHC2,729
MTB_anc	2026684	2026728	!IEDBMHC2,679
MTB_anc	2027009	2027053	!IEDBvargas2021
MTB_anc	2027108	2027152	!IEDBMHC2,1139
MTB_anc	2027126	2027170	!IEDBMHC2,906
MTB_anc	2027165	2027209	!IEDBMHC2,812
