#CHROM	FROM	TO	Mappability
MTB_anc	104738	104739	0.36
MTB_anc	104739	104740	0.37
MTB_anc	104740	104741	0.39
MTB_anc	104741	104742	0.4
MTB_anc	104742	104743	0.41
MTB_anc	104743	104744	0.43
MTB_anc	104744	104745	0.44
MTB_anc	104745	104746	0.45
MTB_anc	104746	104747	0.47
MTB_anc	104747	104748	0.48
MTB_anc	104748	104749	0.49
MTB_anc	104749	104750	0.51
MTB_anc	104750	104751	0.52
MTB_anc	104751	104752	0.53
MTB_anc	104752	104753	0.55
MTB_anc	104753	104754	0.56
MTB_anc	104754	104755	0.57
MTB_anc	104755	104756	0.59
MTB_anc	104756	104757	0.6
MTB_anc	104757	104758	0.61
MTB_anc	104758	104759	0.63
MTB_anc	104759	104760	0.64
MTB_anc	104760	104761	0.65
MTB_anc	104761	104762	0.67
MTB_anc	104762	104763	0.68
MTB_anc	104763	104764	0.69
MTB_anc	104764	104765	0.71
MTB_anc	104765	104766	0.72
MTB_anc	104766	104767	0.73
MTB_anc	104767	104768	0.75
MTB_anc	104768	104769	0.76
MTB_anc	104769	104770	0.77
MTB_anc	104770	104771	0.79
MTB_anc	104771	104772	0.8
MTB_anc	104772	104773	0.81
MTB_anc	104773	104774	0.83
MTB_anc	104774	104775	0.84
MTB_anc	104775	104776	0.85
MTB_anc	104776	104777	0.87
MTB_anc	104777	104778	0.88
MTB_anc	104778	104779	0.89
MTB_anc	104779	104780	0.91
MTB_anc	104780	104781	0.92
MTB_anc	104781	104782	0.93
MTB_anc	104782	104783	0.95
MTB_anc	104783	104784	0.96
MTB_anc	104784	104785	0.97
MTB_anc	104785	104786	0.99
MTB_anc	104786	104831	1
MTB_anc	104831	104832	0.99
MTB_anc	104832	104833	0.97
MTB_anc	104833	104834	0.96
MTB_anc	104834	104835	0.95
MTB_anc	104835	104836	0.93
MTB_anc	104836	104837	0.92
MTB_anc	104837	104838	0.91
MTB_anc	104838	104839	0.89
MTB_anc	104839	104840	0.88
MTB_anc	104840	104841	0.87
MTB_anc	104841	104842	0.85
MTB_anc	104842	104843	0.84
MTB_anc	104843	104844	0.83
MTB_anc	104844	104845	0.81
MTB_anc	104845	104846	0.8
MTB_anc	104846	104847	0.79
MTB_anc	104847	104848	0.77
MTB_anc	104848	104849	0.76
MTB_anc	104849	104850	0.75
MTB_anc	104850	104851	0.73
MTB_anc	104851	104852	0.72
MTB_anc	104852	104853	0.71
MTB_anc	104853	104854	0.69
MTB_anc	104854	104855	0.68
MTB_anc	104855	104856	0.67
MTB_anc	104856	104857	0.65
MTB_anc	104857	104858	0.64
MTB_anc	104858	104859	0.63
MTB_anc	104859	104860	0.61
MTB_anc	104860	104861	0.6
MTB_anc	104861	104862	0.59
MTB_anc	104862	104863	0.57
MTB_anc	104863	104864	0.56
MTB_anc	104864	104865	0.55
MTB_anc	104865	104866	0.53
MTB_anc	104866	104867	0.52
MTB_anc	104867	104868	0.51
MTB_anc	104868	104869	0.49
MTB_anc	104869	104870	0.48
MTB_anc	104870	104871	0.47
MTB_anc	104871	104872	0.45
MTB_anc	104872	104873	0.44
MTB_anc	104873	104874	0.43
MTB_anc	104874	104875	0.41
MTB_anc	104875	104876	0.4
MTB_anc	104876	104877	0.39
MTB_anc	104877	104878	0.37
MTB_anc	104878	104879	0.36
MTB_anc	104879	104880	0.35
MTB_anc	104880	104893	0.33
MTB_anc	104893	104894	0.35
MTB_anc	104894	104895	0.36
MTB_anc	104895	104896	0.37
MTB_anc	104896	104897	0.39
MTB_anc	104897	104898	0.4
MTB_anc	104898	104899	0.41
MTB_anc	104899	104900	0.43
MTB_anc	104900	104901	0.44
MTB_anc	104901	104902	0.45
MTB_anc	104902	104903	0.47
MTB_anc	104903	104904	0.48
MTB_anc	104904	104905	0.49
MTB_anc	104905	104906	0.51
MTB_anc	104906	104907	0.52
MTB_anc	104907	104908	0.53
MTB_anc	104908	104909	0.55
MTB_anc	104909	104910	0.56
MTB_anc	104910	104911	0.57
MTB_anc	104911	104912	0.59
MTB_anc	104912	104913	0.6
MTB_anc	104913	104914	0.61
MTB_anc	104914	104915	0.63
MTB_anc	104915	104916	0.64
MTB_anc	104916	104917	0.65
MTB_anc	104917	104918	0.67
MTB_anc	104918	104919	0.68
MTB_anc	104919	104920	0.69
MTB_anc	104920	104921	0.71
MTB_anc	104921	104922	0.72
MTB_anc	104922	104923	0.73
MTB_anc	104923	104924	0.75
MTB_anc	104924	104925	0.76
MTB_anc	104925	104926	0.77
MTB_anc	104926	104927	0.79
MTB_anc	104927	104928	0.8
MTB_anc	104928	104929	0.81
MTB_anc	104929	104930	0.83
MTB_anc	104930	104931	0.84
MTB_anc	104931	104932	0.85
MTB_anc	104932	104933	0.87
MTB_anc	104933	104934	0.88
MTB_anc	104934	104935	0.89
MTB_anc	104935	104936	0.91
MTB_anc	104936	104937	0.92
MTB_anc	104937	104938	0.93
MTB_anc	104938	104939	0.95
MTB_anc	104939	104940	0.96
MTB_anc	104940	104941	0.97
MTB_anc	104941	104942	0.99
MTB_anc	104942	104943	1
MTB_anc	104943	104944	0.99
MTB_anc	104944	104945	0.97
MTB_anc	104945	104946	0.96
MTB_anc	104946	104947	0.95
MTB_anc	104947	104948	0.93
MTB_anc	104948	104949	0.92
MTB_anc	104949	104950	0.91
MTB_anc	104950	104951	0.89
MTB_anc	104951	104952	0.88
MTB_anc	104952	104953	0.87
MTB_anc	104953	104954	0.85
MTB_anc	104954	104955	0.84
MTB_anc	104955	104956	0.83
MTB_anc	104956	104957	0.81
MTB_anc	104957	104958	0.8
MTB_anc	104958	104959	0.79
MTB_anc	104959	104960	0.77
MTB_anc	104960	104961	0.76
MTB_anc	104961	104962	0.75
MTB_anc	104962	104963	0.73
MTB_anc	104963	104964	0.72
MTB_anc	104964	104965	0.71
MTB_anc	104965	104966	0.69
MTB_anc	104966	104967	0.68
MTB_anc	104967	104968	0.67
MTB_anc	104968	104969	0.65
MTB_anc	104969	104970	0.64
MTB_anc	104970	104971	0.63
MTB_anc	104971	104972	0.61
MTB_anc	104972	104973	0.6
MTB_anc	104973	104974	0.59
MTB_anc	104974	104975	0.57
MTB_anc	104975	104976	0.56
MTB_anc	104976	104977	0.55
MTB_anc	104977	104978	0.53
MTB_anc	104978	104979	0.52
MTB_anc	104979	104980	0.51
MTB_anc	104980	104981	0.49
MTB_anc	104981	104982	0.48
MTB_anc	104982	104983	0.47
MTB_anc	104983	104984	0.45
MTB_anc	104984	104985	0.44
MTB_anc	104985	104986	0.43
MTB_anc	104986	104987	0.41
MTB_anc	104987	104988	0.4
MTB_anc	104988	104989	0.39
MTB_anc	104989	104990	0.37
MTB_anc	104990	104991	0.36
MTB_anc	104991	104992	0.35
MTB_anc	104992	104997	0.33
MTB_anc	104997	104998	0.34
MTB_anc	104998	104999	0.34
MTB_anc	104999	105000	0.34
MTB_anc	105000	105001	0.35
MTB_anc	105001	105002	0.35
MTB_anc	105002	105031	0.35
MTB_anc	105031	105032	0.35
MTB_anc	105032	105033	0.36
MTB_anc	105033	105034	0.36
MTB_anc	105034	105035	0.36
MTB_anc	105035	105036	0.37
MTB_anc	105036	105037	0.37
MTB_anc	105037	105038	0.37
MTB_anc	105038	105039	0.38
MTB_anc	105039	105040	0.38
MTB_anc	105040	105041	0.38
MTB_anc	105041	105042	0.39
MTB_anc	105042	105043	0.39
MTB_anc	105043	105044	0.39
MTB_anc	105044	105045	0.4
MTB_anc	105045	105046	0.4
MTB_anc	105046	105047	0.4
MTB_anc	105047	105049	0.4
MTB_anc	105049	105051	0.4
MTB_anc	105051	105052	0.4
MTB_anc	105052	105053	0.41
MTB_anc	105053	105054	0.41
MTB_anc	105054	105055	0.41
MTB_anc	105055	105056	0.42
MTB_anc	105056	105057	0.42
MTB_anc	105057	105058	0.42
MTB_anc	105058	105059	0.43
MTB_anc	105059	105060	0.43
MTB_anc	105060	105061	0.43
MTB_anc	105061	105062	0.44
MTB_anc	105062	105063	0.44
MTB_anc	105063	105064	0.44
MTB_anc	105064	105065	0.45
MTB_anc	105065	105066	0.45
MTB_anc	105066	105067	0.45
MTB_anc	105067	105068	0.46
MTB_anc	105068	105069	0.46
MTB_anc	105069	105070	0.46
MTB_anc	105070	105071	0.47
MTB_anc	105071	105072	0.47
MTB_anc	105072	105073	0.47
MTB_anc	105073	105074	0.48
MTB_anc	105074	105075	0.48
MTB_anc	105075	105076	0.48
MTB_anc	105076	105077	0.49
MTB_anc	105077	105078	0.49
MTB_anc	105078	105079	0.49
MTB_anc	105079	105080	0.5
MTB_anc	105080	105089	0.5
MTB_anc	105089	105090	0.51
MTB_anc	105090	105091	0.52
MTB_anc	105091	105092	0.53
MTB_anc	105092	105093	0.54
MTB_anc	105093	105094	0.55
MTB_anc	105094	105095	0.56
MTB_anc	105095	105096	0.57
MTB_anc	105096	105097	0.58
MTB_anc	105097	105098	0.59
MTB_anc	105098	105099	0.6
MTB_anc	105099	105100	0.61
MTB_anc	105100	105101	0.62
MTB_anc	105101	105102	0.63
MTB_anc	105102	105103	0.64
MTB_anc	105103	105104	0.65
MTB_anc	105104	105105	0.66
MTB_anc	105105	105106	0.67
MTB_anc	105106	105107	0.68
MTB_anc	105107	105108	0.69
MTB_anc	105108	105109	0.7
MTB_anc	105109	105110	0.71
MTB_anc	105110	105111	0.72
MTB_anc	105111	105112	0.73
MTB_anc	105112	105113	0.74
MTB_anc	105113	105114	0.75
MTB_anc	105114	105115	0.76
MTB_anc	105115	105116	0.77
MTB_anc	105116	105117	0.78
MTB_anc	105117	105118	0.79
MTB_anc	105118	105119	0.8
MTB_anc	105119	105120	0.81
MTB_anc	105120	105121	0.82
MTB_anc	105121	105122	0.83
MTB_anc	105122	105123	0.84
MTB_anc	105123	105124	0.85
MTB_anc	105124	105125	0.86
MTB_anc	105125	105126	0.87
MTB_anc	105126	105127	0.88
MTB_anc	105127	105128	0.89
MTB_anc	105128	105129	0.9
MTB_anc	105129	105130	0.91
MTB_anc	105130	105131	0.92
MTB_anc	105131	105132	0.93
MTB_anc	105132	105133	0.94
MTB_anc	105133	105134	0.95
MTB_anc	105134	105135	0.96
MTB_anc	105135	105136	0.97
MTB_anc	105136	105137	0.98
MTB_anc	105137	105138	0.99
MTB_anc	105138	131786	1
MTB_anc	131786	131787	0.99
MTB_anc	131787	131788	0.98
MTB_anc	131788	131789	0.97
MTB_anc	131789	131790	0.95
MTB_anc	131790	131791	0.94
MTB_anc	131791	131792	0.93
MTB_anc	131792	131793	0.92
MTB_anc	131793	131794	0.91
MTB_anc	131794	131795	0.9
MTB_anc	131795	131836	0.89
MTB_anc	131836	131837	0.9
MTB_anc	131837	131838	0.91
MTB_anc	131838	131839	0.92
MTB_anc	131839	131840	0.93
MTB_anc	131840	131841	0.95
MTB_anc	131841	131842	0.96
MTB_anc	131842	131843	0.97
MTB_anc	131843	131844	0.98
MTB_anc	131844	131845	0.99
MTB_anc	131845	149635	1
MTB_anc	149635	149636	0.99
MTB_anc	149636	149637	0.98
MTB_anc	149637	149638	0.97
MTB_anc	149638	149639	0.95
MTB_anc	149639	149640	0.94
MTB_anc	149640	149641	0.93
MTB_anc	149641	149642	0.91
MTB_anc	149642	149643	0.9
MTB_anc	149643	149644	0.88
MTB_anc	149644	149645	0.87
MTB_anc	149645	149646	0.85
MTB_anc	149646	149647	0.84
MTB_anc	149647	149648	0.82
MTB_anc	149648	149649	0.81
MTB_anc	149649	149650	0.79
MTB_anc	149650	149651	0.78
MTB_anc	149651	149652	0.76
MTB_anc	149652	149653	0.75
MTB_anc	149653	149654	0.73
MTB_anc	149654	149655	0.72
MTB_anc	149655	149656	0.71
MTB_anc	149656	149657	0.7
MTB_anc	149657	149658	0.69
MTB_anc	149658	149659	0.68
MTB_anc	149659	149660	0.67
MTB_anc	149660	149685	0.66
MTB_anc	149685	149686	0.67
MTB_anc	149686	149687	0.68
MTB_anc	149687	149688	0.7
MTB_anc	149688	149689	0.71
MTB_anc	149689	149690	0.72
MTB_anc	149690	149691	0.74
MTB_anc	149691	149692	0.75
MTB_anc	149692	149693	0.77
MTB_anc	149693	149694	0.78
MTB_anc	149694	149695	0.79
MTB_anc	149695	149696	0.8
MTB_anc	149696	149697	0.82
MTB_anc	149697	149698	0.83
MTB_anc	149698	149699	0.85
MTB_anc	149699	149700	0.86
MTB_anc	149700	149701	0.88
MTB_anc	149701	149702	0.89
MTB_anc	149702	149703	0.91
MTB_anc	149703	149704	0.92
MTB_anc	149704	149705	0.93
MTB_anc	149705	149706	0.94
MTB_anc	149706	149707	0.95
MTB_anc	149707	149708	0.96
MTB_anc	149708	149709	0.97
MTB_anc	149709	149710	0.98
MTB_anc	149710	149711	0.99
MTB_anc	149711	149744	0.98
